company,year,tokens
9.siemens healthineers_$58.91 b_health care,2019,19090
9.siemens healthineers_$58.91 b_health care,2020,116457
9.siemens healthineers_$58.91 b_health care,2021,116334
9.siemens healthineers_$58.91 b_health care,2022,109282
9.siemens healthineers_$58.91 b_health care,2023,113803
Covestro AG,2015,137331
Covestro AG,2016,134748
Covestro AG,2017,160964
Covestro AG,2018,162339
Covestro AG,2019,154301
Covestro AG,2020,188279
Covestro AG,2021,203324
Covestro AG,2022,226074
Covestro AG,2023,227651
Daimler Truck Holding AG,2021,228151
Daimler Truck Holding AG,2022,241991
Daimler Truck Holding AG,2023,248080
MTU Aero Engines AG,2014,157278
MTU Aero Engines AG,2015,154827
MTU Aero Engines AG,2016,134164
MTU Aero Engines AG,2017,157078
MTU Aero Engines AG,2018,168895
MTU Aero Engines AG,2019,157139
MTU Aero Engines AG,2020,155865
MTU Aero Engines AG,2021,185723
MTU Aero Engines AG,2022,203648
MTU Aero Engines AG,2023,202231
Porsche SE,2014,108282
Porsche SE,2015,116072
Porsche SE,2016,122399
Porsche SE,2017,126013
Porsche SE,2018,97944
Porsche SE,2019,86210
Porsche SE,2020,88659
Porsche SE,2021,104973
Porsche SE,2022,134736
Porsche SE,2023,173558
Sartorius AG,2014,116965
Sartorius AG,2015,119452
Sartorius AG,2016,123318
Sartorius AG,2017,136907
Sartorius AG,2018,127952
Sartorius AG,2019,123438
Sartorius AG,2020,131305
Sartorius AG,2021,137987
Sartorius AG,2022,143039
Sartorius AG,2023,153134
Siemens Energy AG,2020,137954
Siemens Energy AG,2021,157445
Siemens Energy AG,2022,174979
Siemens Energy AG,2023,201678
Sto SE & Co KgaA,2014,98906
Sto SE & Co KgaA,2015,100987
Sto SE & Co KgaA,2016,109054
Sto SE & Co KgaA,2017,111293
Sto SE & Co KgaA,2018,114428
Sto SE & Co KgaA,2019,126749
Sto SE & Co KgaA,2020,132756
Sto SE & Co KgaA,2021,132615
Sto SE & Co KgaA,2022,119570
Sto SE & Co KgaA,2023,117932
Varta AG,2017,69970
Varta AG,2018,81905
Varta AG,2019,86999
Varta AG,2020,100871
Varta AG,2021,98710
Varta AG,2022,113808
Varta AG,2023,169583
adesso se,2014,73518
adesso se,2015,73658
adesso se,2016,81387
adesso se,2017,95334
adesso se,2018,96552
adesso se,2019,103483
adesso se,2020,103794
adesso se,2021,106248
adesso se,2022,107758
adesso se,2023,106186
